Sr_No,Date,StartUp,Vertical,SubVertical,Location,Investors,Round,Amount
1361,2016-09-10,Poshtic,Consumer Internet,Online Health & Wellness Platform,Noida,"Havya Sharma, Amit Nagar",Seed Funding,4.24935
1362,2016-09-10,Karmacircles,Consumer Internet,Peer-To-Peer Social Learning Platform,New Delhi,"Harinder Takhar, Zain Raj, Dr. Prasad Kaipa, Abaran Deep, Aseem Sood, Mustafa Patni",Seed Funding,9.443
1363,2016-09-12,Purple Style Labs,Consumer Internet,Personal Styling Online Platform,Mumbai,"Augment Ventures, Rahul Kayan, Nikhil Golcha, Shubham Gupta, Roy Kwan",Seed Funding,4.230464
1364,2016-09-12,Inuxu,Technology,Online Advertising Solutions,Pune,Fork Media,Private Equity,28.329
1365,2016-09-12,Nykaa,Ecommerce,Online Beauty Products Etailer,Mumbai,"Sunil Munjal, Mariwala Family",Private Equity,116.1489
1366,2016-09-12,Glam Studios,Consumer Internet,Beauty Salon Aggregator,Noida,"Pradeep Mirani, Aqeel Ahmed, An Ladsariya, Nitin Agarwal",Seed Funding,2.8329000000000004
1367,2016-09-13,Findow,Consumer Internet,Fashion Discovery Mobile App,Bangalore,Raj Singh Bhal,Seed Funding,9.443
1368,2016-09-13,Ideachakki,Consumer Internet,Restaurant Menu & Food Mobile App,New Delhi,Ratan Tata,Seed Funding,9.443
1369,2016-09-13,Shoekonnect,Ecommerce,Footwear & Leather B2B App,Agra,Indian Angels Network,Seed Funding,9.443
1370,2016-09-13,Nearbuy,Consumer Internet,Online Deals & Discount Platform,Gurgaon,Blacksoil Capital Pvt. Ltd.,Private Equity,23.6075
1371,2016-09-14,Zeroinfy,Consumer Internet,Online Video Lectures Platform,Kolkata,Calcutta Angels Network,Seed Funding,9.443
1372,2016-09-14,Flocareer,Consumer Internet,Jobs & Skill Validation Platform,Bangalore,"Balasubramanian Krishnamurthy, Sidhartha Hazarika & Others",Seed Funding,1.4164500000000002
1373,2016-09-14,Lenspick,Ecommerce,Eyewear Etailer,Bangalore,Scadea Solutions Inc,Private Equity,9.443
1374,2016-09-15,Infeedo,Consumer Internet,Employee Engagement Platform,Gurgaon,"Dheeraj Jain, Palash Jain, Anupam Mittal, Ameera Shah, Vivek Bhargava, Rahul Singh, Ambarish Gupta,",Seed Funding,1.8886
1375,2016-09-15,Furlenco,Ecommerce,Online Furniture Rental Startup,Bangalore,Lightbox Ventures  Others,Private Equity,47.215
1376,2016-09-15,Gopigeon,Consumer Internet,On-Demand Logistics Service Provider,Bangalore,Nexus Venture Partners,Private Equity,14.1645
1377,2016-09-16,Newsdistill,Consumer Internet,City Based News Aggregator App,Hyderabad,"Ganesh Narasimhan, Ramana Thumu, Sudhir Mallem",Seed Funding,0.9443
1378,2016-09-16,Doctorinsta,Consumer Internet,Online Doctor Consultations,Gurgaon,Roundglass Partners,Private Equity,9.443
1379,2016-09-19,Milofy,Consumer Internet,Couple Socialization App,Bangalore,Accel Partners,Seed Funding,7.08225
1380,2016-09-19,Liqvid,Technology,Integrated Elearning Content Solutions,New Delhi,Gray Matters Capital,Private Equity,9.443
1381,2016-09-19,Swiggy,Consumer Internet,Online Food Ordering & Delivery,Bangalore,Bessemer Venture Partners,Private Equity,141.645
1382,2016-09-20,Codemojo,Consumer Internet,Customer Engagement Platform,Bangalore,Cio Angel Network,Seed Funding,9.443
1383,2016-09-20,Justlikenew,Ecommerce,Online Gadget Repair Services Marketplace,Hyderabad,Letsventure,Seed Funding,4.7215
1384,2016-09-20,Joehukum,Technology,Enterprise Customer Engagement Solutions,New Delhi,Sumit Jain,Seed Funding,9.443
1385,2016-09-21,Co Life,Consumer Internet,Shared Living And Working Spaces Platform,Bangalore,Undisclosed Investors,Seed Funding,9.443
1386,2016-09-21,Purpledocs,Consumer Internet,Electronic Health Care Records Platform,Vadodara,"Kellygamma, Lead Angels & Others",Seed Funding,9.443
1387,2016-09-21,Pepperfry,Ecommerce,Furniture Etailer,Mumbai,"Goldman Sachs Group, Zodius Technology Fund, Norwest Venture Partners, Bertelsmann India",Private Equity,295.5659
1388,2016-09-21,Equickies,Ecommerce,Online Book Etailer,Ahmedabad,Lothal Angel Ventures,Seed Funding,2.8140140000000002
1389,2016-09-21,Khel Now,Consumer Internet,Mobile-Based Social Networking Platform,New Delhi,Anglian Omega Network,Seed Funding,3.3050500000000005
1390,2016-09-22,Gadgetwood,Consumer Internet,On-Demand Gadget Repair Services Platform,New Delhi,Carpediem Capital,Private Equity,56.658
1391,2016-09-22,Dailyrounds,Consumer Internet,Mobile App For Doctors,Bangalore,"Accel Partners, Beenext, Powerhouse Ventures, Akusa Holdings",Private Equity,9.443
1392,2016-09-22,Flixy Games,Technology,Mobile Game Publisher For Indian Audience,Bangalore,Rebright Partners,Seed Funding,4.013275
1393,2016-09-22,Hashtaag,Technology,Mobile App Development Company,Bangalore,Undisclosed Investors,Seed Funding,9.443
1394,2016-09-22,Pharmarack,Technology,Saas Application For Pharma Industry,Pune,"Currae Healthtech Fund, Unicorn India Ventures",Private Equity,7.035035
1395,2016-09-23,Cloudcherry,Technology,Crm Saas Platform,Chennai,"Vertex Ventures, Cisco Ventures, Idg Ventures",Private Equity,56.658
1396,2016-09-23,Parentlane,Consumer Internet,Social Platform For Babycare And Parenting,Bangalore,Rohit Ma,Seed Funding,9.443
1397,2016-09-23,First Moms Club,Consumer Internet,Social Network For Mothers,Mumbai,Idea Wave Labs,Seed Funding,9.443
1398,2016-09-23,Inmotion,Technology,Financial Platform For Daily Wage Earning Communities,Noida,"Prashant Ton, Gaurav Agarwal, Gaurav Bhogle, Shrishti Sahu, Shantanu Mathur, Prabhat Aggarwal",Seed Funding,9.443
1399,2016-09-26,Let\Xe2\X80\X99S Barter,Consumer Internet,Goods & Services Barter Platform,New Delhi,Scale Ventures Funds,Seed Funding,9.443
1400,2016-09-26,Evengini,Consumer Internet,Event Registration And Ticketing Platform,Chennai,Procam International Pvt. Ltd,Private Equity,9.443
1401,2016-09-27,Tinystep,Consumer Internet,Parenting Network Platform,Bangalore,Flipkart Logistics Pvt. Ltd,Private Equity,14.91994
1402,2016-09-27,Canvs,Consumer Internet,Community Platform For Artists And Designers,Mumbai,Pratik Seal,Seed Funding,9.443
1403,2016-09-28,Beardo,Ecommerce,Mens Grooming Products Etailer,Ahmedabad,Venture Catalysts,Seed Funding,4.7215
1404,2016-09-28,Instacar,Consumer Internet,Out-Station Taxi Rental Platform,Indore,Swastika Co Ltd.,Seed Funding,9.443
1405,2016-09-28,Celes Care,Consumer Internet,Virtual Health Clinic For Women,Hyderabad,Endiya Partners,Seed Funding,9.443
1406,2016-09-28,Druva,Technology,Cloud Based Data Protection Solution,Pune,"Sequoia India, Edbi, Blue Cloud Ventures, Hercules Capital",Private Equity,481.593
1407,2016-09-29,Promon,Ecommerce,Local Commerce Platform,New Delhi,Now Capital,Seed Funding,1.69974
1408,2016-09-29,Fastudent,Ecommerce,Education Ecommerce Platform,Noida,"Kanwaljit Singh, Ajay Lakhotia, Pavan Ongole, Ashish Gupta",Seed Funding,9.443
1409,2016-09-29,Unocoin,Consumer Internet,Bitcoin Wallet,Bangalore,"Blume Ventures, Mumbai Angels, Ah! Ventures, Digital Currency Group, Boost Vc, Bank To The Future  Funders Club",Private Equity,14.1645
1410,2016-09-30,Demyto,Consumer Internet,Vehicle Maintenance Services Platform,Pune,Deepak Nathani,Seed Funding,9.443
1411,2016-09-30,Zeta,Technology,Enterprise Cloud Solutions,Mumbai,Bhavin Turakhia,Private Equity,179.41700000000003
1412,2016-09-30,Kalaage,Consumer Internet,Social Networking Platform For Writers,Jaipur,Rajasthan Angel Innovators Network,Seed Funding,9.443
1413,2016-08-01,Healthkart,Ecommerce,Online Pharmacy & Health Marketplace,Gurgaon,"Sequoia Capital India, Omidyar Network, Kae Capital",Private Equity,113.316
1414,2016-08-01,Medinfi,Consumer Internet,Doctor & Clinic  Discovery Platform,Bangalore,"Mudit Saxena, Evan Lim",Seed Funding,1.8886
1415,2016-08-01,Repaireasy,Consumer Internet,Gadget Repair Services Platform,Pune,Undisclosed Hnis,Seed Funding,2.5968250000000004
1416,2016-08-01,Voonik,Ecommerce,Online Women'S Fashion Marketplace,Bangalore,Innoven Capital,Private Equity,28.329
1417,2016-08-01,Tokri,Consumer Internet,Hyperlocal Grocery Delivery Platform,Pune,Syska Led Group,Private Equity,23.6075
1418,2016-08-02,Sheroes,Consumer Internet,Online Job And Career Platform For Women,Noida,"Lumis Partners, The Hr Fund, Rajul Garg, Quintillion Media",Private Equity,16.9974
1419,2016-08-02,Daily Ninja,Consumer Internet,Hyperlocal Daily Needs Products Delivery Platform,Bangalore,"Venk Krishnan, Aprameya Radhakrishna, Anupam Mittal, Kunal Shah, Tracxn Labs, Subramanya Sv, Ravi Garkipati",Seed Funding,9.443
1420,2016-08-02,Yumlane,Food & Beverage,Retail Food & Snack Offline Centres,Mumbai,"Binny Bansal, Anupam Mittal, Sachin Bhatia, Darius Pole, Kunal Khattar, Dheerag Jain",Seed Funding,9.443
1421,2016-08-03,Xcode,Healthcare,Personal Genomics,Chennai,Roundglass Partners,Private Equity,9.443
1422,2016-08-03,Extracarbon,Consumer Internet,Waste Recycle Management Platform,Gurgaon,Br Capital,Seed Funding,2.124675
1423,2016-08-03,Flickbay,Consumer Internet,Mobile Based Bollywood Discovery Platform,Mumbai,Paul Roy,Seed Funding,8.40427
1424,2016-08-04,Petoo,Consumer Internet,Food Delivery Platform,Bangalore,Existing Investors,Seed Funding,4.7215
1425,2016-08-04,Lehlehsports,Others,Sports Arena Discovery,New Delhi,Anglian Omega Network,Seed Funding,9.443
1426,2016-08-05,Tricog,Healthcare,Healthcare Analytics Platform,Bangalore,"Inventus Capital Partners, Blume Ventures & Others",Private Equity,9.443
1427,2016-08-06,Vst Travels,Technology,Travel Ticket Booking Software,Kochi,Promatus Group,Seed Funding,0.254961
1428,2016-08-08,Adpushup,Technology,Ad Optimization Platform,New Delhi,"Geniee, Inc, Purvi Capital",Private Equity,9.443
1429,2016-08-08,Wefly Indoor Skydiving,Others,Indoor Skydiving Sports Provider,Mumbai,Swastika Company Ltd.,Seed Funding,0.37772000000000006
1430,2016-08-08,Mojarto,Ecommerce,"Original Art, Digital Prints Etailer",Gurgaon,Undisclosed Investors,Seed Funding,4.202135
1431,2016-08-08,Zipgrid,Consumer Internet,Community Services Platform,Mumbai,1Crowd (Through Crowd Funding),Seed Funding,1.8886
1432,2016-08-09,Mobident,Healthcare,Dental Protection Solution,Bangalore,Centre For Innovation Incubation  Entrepreneurship (Ciie),Seed Funding,9.443
1433,2016-08-09,Zeolr/Respiron,Technology,Healthcare Related Iot Platform,New Delhi,Centre For Innovation Incubation  Entrepreneurship (Ciie),Seed Funding,9.443
1434,2016-08-10,Vebbler,Consumer Internet,Photo Sharing Mobile App,Bangalore,"Anupam Mittal, Sharad Sharma & 14 Others",Seed Funding,4.7215
1435,2016-08-10,Bombay Shaving Company,Ecommerce,Men'S Grooming Product Etailer,New Delhi,"Noshir Kaka, Subramanian Ramadorai, Kiran Deshpe, Pankaj Gupta, Ravi Nigam & Others",Seed Funding,5.665800000000001
1436,2016-08-11,Travelyaari,Consumer Internet,Online Ticket Booking Platform,Bangalore,"Gujarat Venture Finance Limited (Gvfl), Bennett Coleman & Co. Ltd",Private Equity,66.101
1437,2016-08-11,91Springboard,Consumer Internet,Co-Working Spaces Discovery & Booking Platform,Mumbai,"Khattar Holdings, Thirtythree Investments, Soumitra Sharma, Deepak Sharma, Sumit Dayal  Others",Private Equity,9.443
1438,2016-08-11,Genextstudents,Consumer Internet,Online Tutoring Service Provider,Mumbai,1Crowd (Through Crowdfunding),Seed Funding,1.973587
1439,2016-08-11,Zenoti,Technology,Cloud Based Software Solutions Provider,Hyderabad,"Norwest Venture Partners, Accel India",Private Equity,141.645
1440,2016-08-12,Crofarm,Technology,Agri-Tech Supply Chain Solution Provider,Gurgaon,"Mukul Singhal, Rohit Jain, Himanshu Aggrawal, Sunil Goyal Ashish Gupta,",Private Equity,14.1645
1441,2016-08-12,Faircent.Com,Consumer Internet,Peer-To-Peer Lending Platform,Gurgaon,Br Capital,Private Equity,14.1645
1442,2016-08-12,Innovaccer,Technology,Integrated Enterprise Analytics Platform,Noida,Westbridge Capital Partners,Private Equity,147.3108
1443,2016-08-12,Cuberoot,Technology,Data Analytics & Audience Management Platform,Gurgaon,Undisclosed Investors,Seed Funding,4.7215
1444,2016-08-12,Funcastic,Consumer Internet,B2C Vernacular Podcast Aggregator Platform,New Delhi,"Ht Media Ltd, North Base Media",Seed Funding,9.443
1445,2016-08-15,Buttercups,Ecommerce,Women Intimate Wear Etailer,Bangalore,"An Chrasekaran, Kanwaljit Singh, Manoj Varghese",Seed Funding,9.443
1446,2016-08-16,Zappfresh,Ecommerce,Raw Meat Products Etailer,Gurgaon,Ashvin Chadha,Seed Funding,9.443
1447,2016-08-16,Oyorooms,Consumer Internet,Budget Hotels Aggregator,New Delhi,Softbank Group,Private Equity,585.466
1448,2016-08-16,Hike,Consumer Internet,Mobile Messaging App,New Delhi,"Tencent Holdings, Foxconn Technology Group, Tiger Global, Softbank Group, Bharti Enterprises",Private Equity,1652.525
1449,2016-08-16,Joolz,Ecommerce,Online Jewellery Store,Mumbai,"Powerhouse Ventures, M&S Partners",Private Equity,4.7215
1450,2016-08-16,Salebhai,Ecommerce,"Sweets, Dry Fruits & Handicrafts Etailer",Ahmedabad,Br Capital,Private Equity,14.1645
1451,2016-08-16,Makkajai,Technology,Online & Mobile Learning For Kids,Pune,"An Chrasekaran, Ananth Narayanan, Mekin Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Company Ltd",Seed Funding,2.36075
1452,2016-08-16,Gradopedia,Consumer Internet,Career Progression Portal,Mumbai,Undisclosed Dubai Based Hnis,Seed Funding,9.443
1453,2016-08-17,Maalgaadi,Logistics,Online Logistics Marketplace,Indore,"Swan Angel Network,Sachin Khelwal  Others",Seed Funding,3.541125
1454,2016-08-17,Zipi,Technology,Mobile Chatbot App,Bangalore,Swan Angel Network,Seed Funding,9.443
1455,2016-08-17,Appknox,Technology,Mobile Security Solutions,Bangalore,"Seedplus, Infocomm Investments, Accel Partners Rnt Associates",Private Equity,6.3740250000000005
1456,2016-08-17,Pikkol,Logistics,Packers & Movers,Bangalore,Indian Angel Network,Seed Funding,9.443
1457,2016-08-18,Meesho,Ecommerce,Mobile Based Ecommerce Saas Platform,Bangalore,"Kashyap Deorah, Rajul Garg, Maninder Gulati",Seed Funding,9.443
1458,2016-08-18,Sesame Software,Technology,Financial Technology Solutions Provider,Kozhikode,Speridian Technologies,Private Equity,9.443
1459,2016-08-19,Quikr,Consumer Internet,Classified Listings Platform,Mumbai,Br Capital,Private Equity,188.86
1460,2016-08-19,Digio,Technology,Aadhar Based Document Signing Platform,Bangalore,Rainmatter,Private Equity,3.541125
1461,2016-08-19,Ziffity,Technology,Full Service Ecommerce Agency,Chennai,Aspire Systems,Private Equity,9.443
1462,2016-08-22,Zzungry,Consumer Internet,Food Delivery Platform,Bangalore,"Satish Vasudeva, Madhusudhan Jujare & Others",Seed Funding,9.443
1463,2016-08-22,Puro Wellness,Healthcare,"Organic,  Natural  Food Substitute Manufacturer",Mumbai,Torrent Group,Private Equity,349.391
1464,2016-08-22,Fitternity,Consumer Internet,Fitness Gym & Services Discovery Platform,Mumbai,"Saha Fund, Exfinity Venture Partners & Others",Private Equity,9.443
1465,2016-08-23,Tac Security,Technology,Cyber-Security Solutions Provider,New Delhi,Vijay Kedia,Seed Funding,9.443
1466,2016-08-23,Notesgen,Consumer Internet,Online Notes Sharing Portal,New Delhi,"Riju Gupta, Kamal Chabra",Seed Funding,0.9443
1467,2016-08-23,Nearu,Consumer Internet,Marketing App For Retailers,Mumbai,Dr. Goutam Challagalla,Seed Funding,9.443
1468,2016-08-23,Octo.Ai,Technology,Artificial Intelligence Based Marketing Platform,New Delhi,"Outbox Ventures, Jaspreet Bindra, Arjun Malhotra, Rohan Malhotra, Sidharth Rao, Rakesh Agrawal",Seed Funding,1.8886
1469,2016-08-24,Shaadisaga,Consumer Internet,Wedding Website Creator,New Delhi,"Ah! Ventures, Anupam Mittal, Kunal Shah, Seep Ton, Dheeraj Jain, Rohit Chokhani",Seed Funding,9.443
1470,2016-08-24,Unaacademy,Consumer Internet,Free Interactive Education Platform,Bangalore,"Blume Ventures, Sachin Bansal, Vijay Shekhar Sharma, Binny Bansal, Kunal Shah, Seep Ton, Ashish Tulsian",Private Equity,9.443
1471,2016-08-24,Advenio,Technology,Clinical Imaging Solution Provider,Ch/igarh,Kalaari Capital,Seed Funding,0.9443
1472,2016-08-24,Guarented,Ecommerce,Home Furnishing Rental Marketplace,Bangalore,Kalaari Capital,Seed Funding,4.7215
1473,2016-08-24,Beyond Evolution,Technology,Mobile Apps & Tech Services Provider,Gurgaon,"Vineet Taneja, Kamal Puri",Seed Funding,9.443
1474,2016-08-24,Uber Dreams,Ecommerce,Dreams Fulfilling Marketplace,Mumbai,Mohit Lalvani,Seed Funding,4.7215
1475,2016-08-24,Convegenius,Education,Edutainment Platform,Noida,Michael  Susan Dell Foundation,Private Equity,8.4987
1476,2016-08-24,Urbanladder,Ecommerce,Online Furniture Store,Mumbai,Trifecta Capital,Private Equity,28.329
1477,2016-08-24,Encashea,Consumer Internet,Scrap Collection And Recycling Platform,Bangalore,"Kunal Shah, Seep Ton, Tracxn Labs",Seed Funding,9.443
1478,2016-08-25,Engineerbabu,Technology,Mobile App & Web Development Company,Indore,Scale Ventures,Seed Funding,9.443
1479,2016-08-25,Cult,Healthcare,Health And Fitness Centres,Bangalore,Curefit,Private Equity,28.329
1480,2016-08-25,Witworks,Technology,Consumer Iot Startup,Bangalore,"Fireside Ventures, Investopad, P39 Capital, Anupam Mittal, Pranay Jivrajka, Maninder Gulati, Abhinav Sinha",Seed Funding,9.443
1481,2016-08-25,Nearfox,Consumer Internet,Local Lifestyle Content And Discovery Platform,Mumbai,"Globevestor Angel Fund, Devendra Rane, Ravi Jain, Arpan Nagdeve",Seed Funding,9.443
1482,2016-08-25,Zoomcar,Consumer Internet,Self-Driven Car Booking Platform,Bangalore,Ford Smart Mobility Llc,Private Equity,226.632
1483,2016-08-26,Plix,Consumer Internet,Photo And Video Sharing App,Gurgaon,Instalabs,Seed Funding,4.7215
1484,2016-08-26,Mobikwik,Consumer Internet,Digital Wallet Platform,Gurgaon,Net1 Ueps Technologies Inc,Private Equity,377.72
1485,2016-08-26,Mydidi,Consumer Internet,"On-Demand, Hyper-Local Cleaning Services Provider",Mumbai,Undisclosed Ex Mckinsey Directors  Partners,Seed Funding,5.193650000000001
1486,2016-08-26,Crownit,Consumer Internet,Cashback Mobile App,Gurgaon,"Kunal Shah & Seep Ton, Girish Mathrubootham, An Chrasekaran",Seed Funding,9.443
1487,2016-08-29,Loantap,Consumer Internet,Lending Platform For Salaried Professionals,Mumbai,"Dr. Abhishek Pey, Jaysukh Sapra",Private Equity,28.329
1488,2016-08-29,Runnr,Consumer Internet,Hyperlocal Logistics Services Provider,Bangalore,"Nexus Venture Partners, Blume Ventures",Private Equity,66.101
1489,2016-08-29,Zolo,Consumer Internet,On-Demand Online Talent Marketplace,Noida,Hitouch Ag,Private Equity,9.443
1490,2016-08-29,Notion Press,Consumer Internet,Self-Publishing Books Platform,Chennai,Undisclosed Hni Investors,Private Equity,9.443
1491,2016-08-29,Livspace,Consumer Internet,Online Portal For Home Design,Bangalore,"Bessemer Venture Partners, Jungle Ventures, Helion Ventures",Private Equity,141.645
1492,2016-08-30,Iaugmentor Labs,Technology,Assessment & Learning Platform,Gurgaon,Rajasthan Angel Investor Network & Others,Seed Funding,1.4070070000000001
1493,2016-08-30,Daybox,Consumer Internet,Fruit & Vegetable Delivery Platform,New Delhi,"Ashutosh Lawania, Rajul Jain, Badal Malick, Rishi Gupta & Others",Seed Funding,0.982072
1494,2016-08-30,Paytm,Ecommerce,Mobile Wallet & Ecommerce Platform,Bangalore,Mediatek Inc.,Private Equity,566.58
1495,2016-08-30,Cropin,Technology,Agriculture Technology Solutions,Bangalore,Sophia Investment Aps,Private Equity,18.886
1496,2016-08-30,Canvera,Consumer Internet,Photographer Discovery & Information Platform,Bangalore,Info Edge (India) Ltd,Private Equity,28.329
1497,2016-08-30,Prime Focus Technologies,Technology,Hybrid Cloud Technology Enabled Media Erp Platform,Mumbai,Ambit Pragma,Private Equity,9.443
1498,2016-08-31,Flyrobe,Ecommerce,Online Fashion Rental Platform,Mumbai,"Idg Ventures, Sequoia Capital, Gree Ventures",Private Equity,50.047900000000006
1499,2016-08-31,Inclov,Consumer Internet,Matchmaking App For Disabled,Mumbai,"Sarbvir Singh, Raghav Bahl",Seed Funding,9.443
1500,2016-07-01,Razorpay,Consumer Internet,Online Payment Gateway,Bangalore,Mastercard,Private Equity,9.443
1501,2016-07-01,Darwinbox,Technology,Hr Software Services Startup,Hyderabad,"3One4 Capital, Tracxn Labs, Aaruha Technology Fund, Endiya Partners",Seed Funding,9.443
1502,2016-07-01,Venture Catalysts,Consumer Internet,Seed Investment & Innovation Platform,Mumbai,Zaffiro Ventures,Seed Funding,4.7215
1503,2016-07-01,Pressplay Tv,Consumer Internet,Video Content Discovery Platform,New Delhi,"Sequoia Capital, Sd Ventures, Vistaar Investment Advisors Pvt. Ltd.",Private Equity,9.443
1504,2016-07-02,Playment,Consumer Internet,Mobile Marketplace For Crowdsourced Work,Bangalore,Saif Partners,Private Equity,6.610100000000001
1505,2016-07-04,Wealthtrust,Consumer Internet,Wealth Management App,Mumbai,India Quotient,Seed Funding,9.443
1506,2016-07-04,Curefit,Consumer Internet,Online Preventive Healthcare Platform,Bangalore,"Accel Partners, Idg Ventures, Kalaari Capital",Private Equity,141.645
1507,2016-07-04,Stitchwood,Ecommerce,Custom Furniture Online,Mumbai,Deepak Gupta,Seed Funding,1.8886
1508,2016-07-04,Grab.In,Logistics,Hyperlocal Logistics Service,Mumbai,Aramex Ventures Llc,Private Equity,18.886
1509,2016-07-04,Fulfil.Io,Consumer Internet,Cloud Based Erp Software,US,Rajan Anan,Seed Funding,9.443
1510,2016-07-04,Neogrowth,Finance,Sme Lending Platform,Mumbai,"Iifl Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada",Private Equity,151.088
1511,2016-07-05,Seedoc,Consumer Internet,Video Based Doctor Consulting Platform App,Gurgaon,Yournest Angel Fund & Others,Private Equity,9.443
1512,2016-07-05,Bookmyshow,Consumer Internet,Event & Movie Ticketing Platform,Mumbai,"Stripes Group, Network 18, Accel Partners, Saif Partners",Private Equity,774.3260000000001
1513,2016-07-05,Flyrobe,Ecommerce,Online Fashion Rental Platform,Mumbai,"Sequoia Capital, Rohit Bansal, Kunal Bahl, Seep Ton, Kunal Shah, Zishaan Hayath, Abhishek Jain",Seed Funding,16.0531
1514,2016-07-06,Happilyunmarried,Ecommerce,Online Merchandize Etailer,New Delhi,Info Edge (India) Ltd,Private Equity,6.98782
1515,2016-07-06,Don'T Scratch Your Head,Technology,Full Stack Offline & Online Erp Solution,Ahmedabad,"Gaurav Singhvi, Zaffiro Ventures",Seed Funding,2.36075
1516,2016-07-06,Wedding Wishlist,Consumer Internet,"Wedding Wishlist, Gifts & Registry Creation Platform",Chennai,"Kirthiga Reddy, Renuka Ramanath,Cherry Tin",Seed Funding,2.8045710000000006
1517,2016-07-07,Appdaily,Technology,Mobile Security App Development & Distribution,Mumbai,"Kalaari Capital, Qualcomm Ventures, Ru-Net, Zodius Technology Opportunities Fund,",Private Equity,18.886
1518,2016-07-07,Adytude,Consumer Internet,Gamified Consumer Insights Portal,New Delhi,Indian Angel Network,Private Equity,9.443
1519,2016-07-07,Quickli,Logistics,On-Demand Delivery Startup,Gurgaon,"Avg Group, 500 Startups",Private Equity,9.443
1520,2016-07-07,Spectravr,Technology,Virtual Reality Content Studio,Mumbai,Rothenberg Ventures,Seed Funding,9.443
1521,2016-07-08,Pitstop,Consumer Internet,Online Car Repair And Servicing Booking Platform,Bangalore,"Alex Chua, Rahul Garg",Seed Funding,9.443
1522,2016-07-08,Holachef,Consumer Internet,Online Food Ordering & Delivery Platform,Mumbai,"Kalaari Capital, India Quotient",Private Equity,18.41385
1523,2016-07-11,Purplle,Ecommerce,Beauty Products Marketplace,Mumbai,"Jsw Ventures, Blume Ventures & Ivycap Ventures",Private Equity,56.658
1524,2016-07-11,Trak N Tell,Technology,Car Tracking & Safety System,Gurgaon,Brian Acton,Private Equity,33.0505
1525,2016-07-11,Overcart.Com,Ecommerce,Unboxed & Refurbished Electronic Products Marketplace,Gurgaon,"Jsw Ventures, Omidyar Network, Sattva Capital, Venture Works",Private Equity,28.329
1526,2016-07-12,Sirionlabs,Technology,Saas Based Service Agreement Management,Gurgaon,Sequoia Capital,Private Equity,115.67675
1527,2016-07-12,Gyandhan,Consumer Internet,Education Focused Financing Platform,New Delhi,"Stanford Angels & Entrepreneurs, Harvard Angels",Seed Funding,9.443
1528,2016-07-12,Mintm,Consumer Internet,Digital Marketing & Adtech Platform,Bangalore,"Mumbai Angels, Times Internet",Private Equity,9.443
1529,2016-07-12,Hitgrit,Consumer Internet,Online Legal Consultation Platform,Ch/igarh,"Ashish Mahajan, Sarvesh Sharma",Seed Funding,9.443
1530,2016-07-12,Find My Stay,Consumer Internet,Online Budget Hotel Aggregator & Booking Platform,New Delhi,"Rishi Parti, Yogesh Bansal",Seed Funding,9.443
1531,2016-07-13,Yaap,Consumer Internet,"Online Content Discovery, Creation & Distribution Platform",New Delhi,Rainmaker Ventures,Private Equity,47.215
1532,2016-07-13,Utoo Cabs,Consumer Internet,Cab Aggregation & Rental Platform,Chennai,Ajay Piramal,Seed Funding,9.443
1533,2016-07-13,Twigly,Consumer Internet,Online Food Ordering & Delivery Startup,Gurgaon,"Tracxn Labs, Hyderabad Angels, Kunal Shah, Gaurav Bhalotia",Seed Funding,5.665800000000001
1534,2016-07-13,Sharechat,Consumer Internet,Vernacular Language Content Creation & Sharing App,Bangalore,"Saif Partners, India Quotient",Private Equity,12.748050000000001
1535,2016-07-13,Urban Tailor,Consumer Internet,E-Tailoring Service Provider,Bangalore,Unitus Seed Fund,Private Equity,9.443
1536,2016-07-13,Rentmojo,Consumer Internet,Online Furniture Renting Platform,Bangalore,"Accel Partners, Idg Ventures India",Private Equity,47.215
1537,2016-07-13,Cityfurnish,Consumer Internet,Online Furniture Renting Platform,Gurgaon,Br Capital,Seed Funding,9.443
1538,2016-07-13,Heal Institute,Healthcare,Sports Focused Healthcare Startup,Mumbai,"Jaspal Bindra, Parth Jindal",Seed Funding,9.443
1539,2016-07-14,Augrav,Ecommerce,Personalized Precious Jewellery Etailer,Coimbatore,Keiretsu Forum,Seed Funding,4.24935
1540,2016-07-14,Shoppinpal,Technology,M-Commerce Solutions For Retail Stores,Pune,"Plug  Play Tech Center, Steelhead Ventures & Others",Private Equity,10.10401
1541,2016-07-14,Transtutors / Askiitians,Consumer Internet,Online Education & Tutoring Portals,New Delhi,500 Startups,Private Equity,9.443
1542,2016-07-15,Workapps,Technology,Enterprise Work Management Software,Pune,Sri Capital,Seed Funding,9.443
1543,2016-07-15,Bankerbay,Consumer Internet,Online Investment Banking Platform,Bangalore,Undisclosed Investors,Private Equity,18.886
1544,2016-07-15,Baggout,Ecommerce,Women'S Fashion Etailer,New Delhi,"Sumit Jain, Sumit Jain, Anurag Gupta, Varun Khanna, Faraz Khan",Seed Funding,9.443
1545,2016-07-15,Tripshelf,Ecommerce,Travel Package Marketplace,New Delhi,Gems Group,Seed Funding,2.36075
1546,2016-07-15,Satvacart,Ecommerce,Online Grocers,New Delhi,"Abhijit Avasthi, Karan Chellani, Sp Vijay",Seed Funding,9.443
